Title,Poster,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
The Super Mario Bros. Movie,https://image.tmdb.org/t/p/w500//qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Creed III,https://image.tmdb.org/t/p/w500//cvsXj3I9Q2iyyIo95AecSd1tad7.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Avatar: The Way of Water,https://image.tmdb.org/t/p/w500//t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Murder Mystery 2,https://image.tmdb.org/t/p/w500//s1VzVhXlqsevi8zeCMG9A16nEUf.jpg,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Shazam! Fury of the Gods,https://image.tmdb.org/t/p/w500//A3ZbZsmsvNGdprRi2lKgGEeVLEH.jpg,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cocaine Bear,https://image.tmdb.org/t/p/w500//gOnmaxHo0412UVr1QM5Nekv1xPi.jpg,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,https://image.tmdb.org/t/p/w500//rzRb63TldOKdKydCvWJM8B6EkPM.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Puss in Boots: The Last Wish,https://image.tmdb.org/t/p/w500//kuf6dutpsT0vSVehic3EZIqkOBt.jpg,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
John Wick: Chapter 4,https://image.tmdb.org/t/p/w500//vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Pope's Exorcist,https://image.tmdb.org/t/p/w500//9JBEPLTPSm0d1mbEcLxULjJq9Eh.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Mummies,https://image.tmdb.org/t/p/w500//qVdrYN8qu7xUtsdEFeGiIVIaYd.jpg,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Exorcist,https://image.tmdb.org/t/p/w500//d07xtqwq1uriQ1hda6qeu8Skt5m.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Winnie the Pooh: Blood and Honey,https://image.tmdb.org/t/p/w500//fNTtVbqI92abEKAgz2ynurCUne.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
The Park,https://image.tmdb.org/t/p/w500//hR1jdCw0A9czgsbp45TASkjjBhA.jpg,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
Supercell,https://image.tmdb.org/t/p/w500//gbGHezV6yrhua0KfAgwrknSOiIY.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kill Boksoon,https://image.tmdb.org/t/p/w500//taYgn3RRpCGlTGdaGQvnSIOzXFy.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cazadora,https://image.tmdb.org/t/p/w500//8QxCd3pSSrj6QqaG4fkNkaJmUa.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Black Panther: Wakanda Forever,https://image.tmdb.org/t/p/w500//sv1xJUazXeYqALzczSZ3O6nkH75.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Attack on Titan,https://image.tmdb.org/t/p/w500//qNz4l8UgTkD8rlqiKZ556pCJ9iO.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Passion of the Christ,https://image.tmdb.org/t/p/w500//2C9vyK6leWDb2ds65R7uIwSmh8V.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ant-Man and the Wasp: Quantumania,https://image.tmdb.org/t/p/w500//ngl2FKBlU4fhbdsrtdom9LVLBXw.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
